Symbol,Description,Country,OECD_Codes
ECH,ISHARES INC-MSCI CHILE ETF,CHILE,CHL
EGPT,VANECK VECTORS ETF TR-EGYPT INDX ETF,EGYPT,EGY
EIRL,ISHARES TR-MSCI IRELAND ETF,IRELAND,IRL
EIS,ISHARES INC-MSCI ISRAEL ETF,ISRAEL,ISR
ENZL,ISHARES TR-NEW ZEALAND ETF,NEW ZEALAND,NZL
EPHE,ISHARES TR-MSCI PHILIPS ETF,PHILIPPINES,PHL
EPU,ISHARES TR-MSCI PERU ETF,PERU,PER
EUSA,ISHARES INC-MSCI EQUAL WEITE,UNITED STATES,USA
EWA,ISHARES INC-MSCI AUST ETF,AUSTRALIA,AUS
EWC,ISHARES INC-MSCI CDA ETF,CANADA,CAN
EWD,ISHARES INC-MSCI SWEDEN ETF,SWEDEN,SWE
EWG,ISHARES INC-MSCI GERMANY ETF,GERMANY,DEU
EWH,ISHARES INC-MSCI HONG KG ETF,HONG KONG,HKG
EWI,ISHARES INC-MSCI ITALY ETF,ITALY,ITA
EWJ,ISHARES INC-MSCI JPN ETF NEW,JAPAN,JPN
EWK,ISHARES INC-MSCI BELGIUM ETF,BELGIUM,BEL
EWL,ISHARES INC-MSCI SWITZERLAND,SWITZERLAND,CHE
EWM,ISHARES INC-MSCI MLY ETF NEW,MALAYSIA,MYS
EWN,ISHARES INC-MSCI NETHERL ETF,NETHERLANDS,NLD
EWO,ISHARES INC-MSCI AUSTRIA ETF,AUSTRIA,AUT
EWP,ISHARES INC-MSCI SPAIN ETF,SPAIN,ESP
EWQ,ISHARES INC-MSCI FRANCE ETF,FRANCE,FRA
EWS,ISHARES INC-MSCI SINGPOR ETF,SINGAPORE,SGP
EWT,ISHARES INC-MSCI TAIWAN ETF,CHINESE TAIPEI,TWN
EWU,ISHARES TR-MSCI UK ETF NEW,UNITED KINGDOM,GBR
EWW,ISHARES INC-MSCI MEXICO ETF,MEXICO,MEX
EWY,ISHARES INC-MSCI STH KOR ETF,SOUTH KOREA,KOREA-NS
EWZ,ISHARES INC-MSCI BRAZIL ETF,BRAZIL,BRA
EZA,ISHARES INC-MSCI STH AFR ETF,SOUTH AFRICA,ZAF
GREK,GLOBAL X FDS-MSCI GREECE ETF,GREECE,GRC
GXC,SPDR INDEX SHS FDS-S&P CHINA ETF,CHINA,CHN
GXG,GLOBAL X FDS-GLBX MSCI COLUM,COLOMBIA,COL
IDX,VANECK VECTORS ETF TR-INDONESIA INDEX,INDONESIA,IDN
KSA,ISHARES TR-MSCI SAUDI ARBIA,SAUDI ARABIA,SAU
NGE,GLOBAL X FDS-GBL X MSCI NIGER,NIGERIA,NGA
NORW,GLOBAL X FDS-GLBX MSCI NORW,NORWAY,NOR
PGAL,GLOBAL X FDS-GBL X MSCI PT ET,PORTUGAL,PRT
PIN,POWERSHARES INDIA ETF TR-INDIA PORT,INDIA,IND
PLND,VANECK VECTORS ETF TR-POLAND ETF,POLAND,POL
QAT,ISHARES TR-MSCI QATAR ETF,QATAR,QAT
THD,ISHARES INC-MSCI THAILND ETF,THAILAND,THA
TUR,ISHARES INC-MSCI TURKEY ETF,TURKEY,TUR
UAE,ISHARES TR-MSCI UAE ETF,UAE,UNITED ARAB EMIRATES
VNM,VANECK VECTORS ETF TR-VIETNAM ETF,VIETNAM,VNM
